2026-04-24 21:01:14.131 [background-preinit] INFO  o.h.validator.internal.util.Version - [] HV000001: Hibernate Validator 8.0.1.Final
2026-04-24 21:01:14.204 [main] INFO  c.p.g.T.TransactionPlatformApplication - [] Starting TransactionPlatformApplication using Java 21.0.10 with PID 24240 (E:\payment-gateway\TransactionService\target\classes started by Lenovo in E:\payment-gateway)
2026-04-24 21:01:14.205 [main] INFO  c.p.g.T.TransactionPlatformApplication - [] The following 1 profile is active: "local"
2026-04-24 21:01:15.599 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - [] Multiple Spring Data modules found, entering strict repository configuration mode
2026-04-24 21:01:15.601 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - [] Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-04-24 21:01:15.815 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - [] Finished Spring Data repository scanning in 197 ms. Found 2 JPA repository interfaces.
2026-04-24 21:01:15.846 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - [] Multiple Spring Data modules found, entering strict repository configuration mode
2026-04-24 21:01:15.847 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - [] Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2026-04-24 21:01:15.866 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - [] Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.payment.gateway.TransactionPlatform.repositories.OutboxRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
2026-04-24 21:01:15.867 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - [] Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.payment.gateway.TransactionPlatform.repositories.PaymentRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
2026-04-24 21:01:15.867 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - [] Finished Spring Data repository scanning in 8 ms. Found 0 Redis repository interfaces.
2026-04-24 21:01:17.050 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - [] Tomcat initialized with port 8080 (http)
2026-04-24 21:01:17.073 [main] INFO  o.a.coyote.http11.Http11NioProtocol - [] Initializing ProtocolHandler ["http-nio-8080"]
2026-04-24 21:01:17.077 [main] INFO  o.a.catalina.core.StandardService - [] Starting service [Tomcat]
2026-04-24 21:01:17.077 [main] INFO  o.a.catalina.core.StandardEngine - [] Starting Servlet engine: [Apache Tomcat/10.1.31]
2026-04-24 21:01:17.164 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - [] Initializing Spring embedded WebApplicationContext
2026-04-24 21:01:17.164 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - [] Root WebApplicationContext: initialization completed in 2876 ms
2026-04-24 21:01:17.413 [main] INFO  o.h.jpa.internal.util.LogHelper - [] HHH000204: Processing PersistenceUnitInfo [name: default]
2026-04-24 21:01:17.512 [main] INFO  org.hibernate.Version - [] HHH000412: Hibernate ORM core version 6.5.3.Final
2026-04-24 21:01:17.595 [main] INFO  o.h.c.i.RegionFactoryInitiator - [] HHH000026: Second-level cache disabled
2026-04-24 21:01:18.091 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - [] No LoadTimeWeaver setup: ignoring JPA class transformer
2026-04-24 21:01:18.136 [main] INFO  com.zaxxer.hikari.HikariDataSource - [] HikariPool-1 - Starting...
2026-04-24 21:01:18.386 [main] INFO  com.zaxxer.hikari.pool.HikariPool - [] HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@40738846
2026-04-24 21:01:18.390 [main] INFO  com.zaxxer.hikari.HikariDataSource - [] HikariPool-1 - Start completed.
2026-04-24 21:01:19.830 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - [] HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2026-04-24 21:01:19.902 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - [] Initialized JPA EntityManagerFactory for persistence unit 'default'
2026-04-24 21:01:19.963 [main] INFO  c.p.g.T.config.SchemaUpdater - [] SchemaUpdater: ensured outbox columns attempts,last_error,processed_at
2026-04-24 21:01:21.508 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - [] spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2026-04-24 21:01:21.574 [main] INFO  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - [] Global AuthenticationManager configured with UserDetailsService bean with name inMemoryUserDetailsManager
2026-04-24 21:01:22.744 [main] INFO  o.a.coyote.http11.Http11NioProtocol - [] Starting ProtocolHandler ["http-nio-8080"]
2026-04-24 21:01:22.817 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - [] Tomcat started on port 8080 (http) with context path '/'
2026-04-24 21:01:22.848 [main] INFO  c.p.g.T.TransactionPlatformApplication - [] Started TransactionPlatformApplication in 9.474 seconds (process running for 10.169)
2026-04-24 21:01:23.096 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - [] Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-04-24 21:01:23.097 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - [] Initializing Servlet 'dispatcherServlet'
2026-04-24 21:01:23.098 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - [] Completed initialization in 1 ms
2026-04-24 21:06:17.610 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - [] Closing JPA EntityManagerFactory for persistence unit 'default'
2026-04-24 21:06:17.611 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - [] HikariPool-1 - Shutdown initiated...
2026-04-24 21:06:17.622 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - [] HikariPool-1 - Shutdown completed.
2026-04-24 21:06:21.914 [background-preinit] INFO  o.h.validator.internal.util.Version - [] HV000001: Hibernate Validator 8.0.1.Final
2026-04-24 21:06:21.988 [main] INFO  c.p.g.T.TransactionPlatformApplication - [] Starting TransactionPlatformApplication using Java 21.0.10 with PID 24224 (E:\payment-gateway\TransactionService\target\classes started by Lenovo in E:\payment-gateway)
2026-04-24 21:06:21.989 [main] INFO  c.p.g.T.TransactionPlatformApplication - [] The following 1 profile is active: "local"
2026-04-24 21:06:23.693 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - [] Multiple Spring Data modules found, entering strict repository configuration mode
2026-04-24 21:06:23.697 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - [] Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-04-24 21:06:23.925 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - [] Finished Spring Data repository scanning in 208 ms. Found 2 JPA repository interfaces.
2026-04-24 21:06:23.959 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - [] Multiple Spring Data modules found, entering strict repository configuration mode
2026-04-24 21:06:23.961 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - [] Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2026-04-24 21:06:23.980 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - [] Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.payment.gateway.TransactionPlatform.repositories.OutboxRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
2026-04-24 21:06:23.981 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - [] Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.payment.gateway.TransactionPlatform.repositories.PaymentRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
2026-04-24 21:06:23.981 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - [] Finished Spring Data repository scanning in 9 ms. Found 0 Redis repository interfaces.
2026-04-24 21:06:25.034 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - [] Tomcat initialized with port 8080 (http)
